Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-10 00:21:00,2024-09-10 00:49:00,00:28:00,0.1722,0.1724
2024-09-10 00:53:00,2024-09-10 00:53:00,00:00:00,0.3894,0.3894
2024-09-10 00:55:00,2024-09-10 00:56:00,00:01:00,0.3034,0.2844
2024-09-10 00:58:00,2024-09-10 01:07:00,00:09:00,0.1736,0.1697
2024-09-10 01:10:00,2024-09-10 02:09:00,00:59:00,0.2896,0.3032
2024-09-10 02:12:00,2024-09-10 02:40:00,00:28:00,0.1706,0.1708
2024-09-10 02:44:00,2024-09-10 02:44:00,00:00:00,0.3818,0.3818
2024-09-10 02:46:00,2024-09-10 02:47:00,00:01:00,0.3016,0.2909
2024-09-10 02:49:00,2024-09-10 03:04:00,00:15:00,0.172,0.1745
2024-09-10 03:07:00,2024-09-10 03:50:00,00:43:00,0.2892,0.3029
2024-09-10 03:53:00,2024-09-10 04:22:00,00:29:00,0.1729,0.1721
2024-09-10 04:28:00,2024-09-10 04:28:00,00:00:00,0.3037,0.3037
2024-09-10 04:31:00,2024-09-10 04:49:00,00:18:00,0.1731,0.1765
2024-09-10 04:51:00,2024-09-10 05:02:00,00:11:00,0.2851,0.2937
2024-09-10 05:05:00,2024-09-10 05:05:00,00:00:00,0.0325,0.0325
2024-09-10 05:09:00,2024-09-10 05:09:00,00:00:00,0.5883,0.5883
2024-09-10 05:16:00,2024-09-10 05:16:00,00:00:00,0.2987,0.2987
2024-09-10 05:19:00,2024-09-10 05:48:00,00:29:00,0.1681,0.1732
2024-09-10 05:50:00,2024-09-10 05:51:00,00:01:00,0.3981,0.3905
2024-09-10 05:54:00,2024-09-10 05:54:00,00:00:00,0.2922,0.2922
2024-09-10 05:57:00,2024-09-10 06:10:00,00:13:00,0.1665,0.1829
2024-09-10 06:12:00,2024-09-10 06:41:00,00:29:00,0.2831,0.2919
2024-09-10 06:44:00,2024-09-10 07:13:00,00:29:00,0.1673,0.1676
2024-09-10 07:16:00,2024-09-10 07:16:00,00:00:00,0.3846,0.3846
2024-09-10 07:19:00,2024-09-10 07:19:00,00:00:00,0.2906,0.2906
2024-09-10 07:22:00,2024-09-10 07:50:00,00:28:00,0.1662,0.168
2024-09-10 07:56:00,2024-09-10 07:56:00,00:00:00,0.2941,0.2941
2024-09-10 07:59:00,2024-09-10 08:09:00,00:10:00,0.1671,0.1692
2024-09-10 08:12:00,2024-09-10 08:23:00,00:11:00,0.2905,0.3018
2024-09-10 08:26:00,2024-09-10 08:28:00,00:02:00,0.2568,0.2568
2024-09-10 08:30:00,2024-09-10 11:33:00,03:03:00,0.2989,0.3611
2024-09-10 11:35:00,2024-09-10 11:37:00,00:02:00,0.3217,0.3217
2024-09-10 11:39:00,2024-09-10 11:58:00,00:19:00,0.372,0.3849
2024-09-10 12:01:00,2024-09-10 12:08:00,00:07:00,0.4823,0.4563
2024-09-10 12:11:00,2024-09-10 12:38:00,00:27:00,0.3492,0.3834
2024-09-10 12:41:00,2024-09-10 12:48:00,00:07:00,0.4903,0.4795
2024-09-10 12:51:00,2024-09-10 13:04:00,00:13:00,0.382,0.3737
2024-09-10 13:07:00,2024-09-10 13:08:00,00:01:00,0.0323,0.0438
2024-09-10 13:14:00,2024-09-10 13:14:00,00:00:00,0.5721,0.5721
2024-09-10 13:17:00,2024-09-10 13:17:00,00:00:00,0.4772,0.4772
2024-09-10 13:19:00,2024-09-10 13:41:00,00:22:00,0.3738,0.3635
2024-09-10 13:43:00,2024-09-10 14:23:00,00:40:00,0.339,0.3363
