Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
13.56,3.2839,1.7158,1.2658,2.4673,2.5914,0.0124,0.015,0.0321,0.0264,0.0089,0.8103,0.5131,0.0028,0.0,0.0268,0.0033,0.7824,0,0
13.58,3.3013,1.7136,1.2637,2.4631,2.5884,0.0122,0.0148,0.0503,0.0264,0.0088,0.8085,0.5129,0.0024,0.0,0.0263,0.0033,0.7807,0,0
13.13,3.2029,1.6476,1.2164,2.3686,2.4924,0.0118,0.0142,0.0546,0.0254,0.0085,0.7959,0.4931,0.0026,0.0,0.0414,0.0033,0.7492,0,0
13.7,3.3616,1.7087,1.261,2.4531,2.5849,0.0123,0.0148,0.0579,0.0265,0.0088,0.8656,0.513,0.0024,0.0,0.0436,0.0033,0.7787,0,0
13.94,3.4993,1.7049,1.2481,2.4463,2.5726,0.0117,0.0147,0.057,0.0266,0.0089,1.0124,0.5124,0.0024,0.0,0.0462,0.0033,0.7779,0,0
13.9,3.4887,1.7009,1.2442,2.439,2.5638,0.0118,0.0147,0.0576,0.0264,0.009,1.0078,0.512,0.0024,0.0,0.047,0.0033,0.7762,0,0
13.8,3.4562,1.6973,1.2376,2.4328,2.5537,0.012,0.0146,0.0573,0.0264,0.0089,0.9827,0.5114,0.0026,0.0,0.0282,0.0033,0.7759,0,0
9.59,2.3998,1.1957,0.7204,1.3907,1.4632,0.0123,0.0145,0.0573,0.0264,0.0089,0.9762,0.5209,0.0023,0.0,0.014,0.0033,0.7833,0,0
0.94,0.2972,0.0632,0.0254,0.0174,0.0081,0.0126,0.0145,0.0552,0.0264,0.0085,0.2629,0.0578,0.0028,0.0,0.0,0.0033,0.0839,0,0
0.57,0.2124,0.0058,0.0254,0.0171,0.0079,0.0124,0.0145,0.0543,0.0262,0.0084,0.1785,0.0,0.0027,0.0,0.0,0.0033,0.0,0,0
0.57,0.2126,0.0059,0.0254,0.0172,0.0079,0.0125,0.0145,0.0547,0.0262,0.0084,0.1783,0.0,0.0028,0.0,0.0,0.0033,0.0,0,0
0.57,0.2139,0.0061,0.0255,0.0172,0.008,0.0127,0.0145,0.0559,0.0262,0.0085,0.1786,0.0,0.0024,0.0,0.0,0.0033,0.0,0,0
0.57,0.2132,0.006,0.0255,0.017,0.0077,0.0125,0.0145,0.0553,0.0261,0.0084,0.1785,0.0,0.0028,0.0,0.0,0.0033,0.0,0,0
0.57,0.213,0.0058,0.0255,0.0171,0.008,0.0125,0.0145,0.0553,0.026,0.0084,0.1785,0.0,0.0024,0.0,0.0,0.0033,0.0,0,0
0.57,0.2126,0.006,0.0256,0.0169,0.0078,0.0125,0.0145,0.0549,0.0258,0.0084,0.1783,0.0,0.0024,0.0,0.0,0.0033,0.0,0,0
0.74,0.212,0.0059,0.0255,0.0169,0.0075,0.0125,0.0144,0.0541,0.0257,0.0083,0.1786,0.0,0.0025,0.0,0.0,0.1779,0.0,0,0
0.74,0.2128,0.0062,0.0254,0.0168,0.0075,0.0125,0.0144,0.0549,0.0255,0.0085,0.1785,0.0,0.0026,0.0,0.0,0.1777,0.0,0,0
0.74,0.2121,0.0091,0.0242,0.0168,0.0075,0.0123,0.0143,0.0543,0.0242,0.0095,0.1784,0.0,0.0024,0.0,0.0,0.1776,0.0,0,0
0.74,0.2126,0.0091,0.0242,0.0167,0.0075,0.0123,0.0144,0.0546,0.0242,0.0095,0.1785,0.0,0.0022,0.0,0.0,0.1777,0.0,0,0
0.74,0.2121,0.0092,0.0241,0.0168,0.0074,0.0123,0.0143,0.0544,0.0242,0.0095,0.1784,0.0,0.0024,0.0,0.0,0.1775,0.0,0,0
