fecha,Potencia_activa_Total,Potencia_aparente_Total,Potencia_reactiva
2024-09-23_11-36-36.7,0.0395195633172988,0.0406878627836704,0.056721231145778025
2024-09-23_11-36-37.5,0.0395656712353229,0.0407262369990348,0.05678088340632971
2024-09-23_11-36-38.3,0.0395145863294601,0.0406675823032856,0.05670321669167335
2024-09-23_11-36-39.1,0.0395948700606823,0.0407210439443588,0.056797510113038546
2024-09-23_11-36-40.8,0.0398834310472011,0.0410959869623184,0.057267514495601156
2024-09-23_11-36-41.6,0.0398834310472011,0.0410959869623184,0.057267514495601156
2024-09-23_11-36-42.4,0.0399232394993305,0.0411288514733314,0.05731882304824706
2024-09-23_11-36-43.2,0.0397536419332027,0.0409195311367511,0.05705050460254348
2024-09-23_11-36-44,0.0396610163152217,0.0408290028572082,0.05692103029171378
2024-09-23_11-36-44.8,0.0399252995848655,0.0411417745053768,0.057329531276581476
2024-09-23_11-36-46.5,0.0400571450591087,0.0412236973643302,0.05748015392004758
2024-09-23_11-36-47.3,0.0399674586951732,0.0411880910396575,0.057392130105455144
2024-09-23_11-36-48.1,0.0399468690156936,0.0410961806774139,0.05731185226833651
2024-09-23_11-36-48.9,0.0399544946849346,0.0411395356059074,0.05734826096228368
2024-09-23_11-36-49.7,0.0400337241590023,0.0412334389984607,0.05747082356882372
2024-09-23_11-36-50.5,0.0400337241590023,0.0412334389984607,0.05747082356882372
2024-09-23_11-36-52.2,0.0401005931198596,0.0412837117910385,0.057553474506845045
2024-09-23_11-36-53,0.0399701297283172,0.0411705374717712,0.05738139442548449
2024-09-23_11-36-53.8,0.0399035438895225,0.0411249473690986,0.05730230458763572
2024-09-23_11-36-54.6,0.0399035438895225,0.0411249473690986,0.05730230458763572
2024-09-23_11-36-55.4,0.0399255268275737,0.0411311499774456,0.05732206548028805
2024-09-23_11-36-56.2,0.0395630300045013,0.0406013131141662,0.05668950493461408
2024-09-23_11-36-57.9,0.0398536473512649,0.0410455800592899,0.05721060084986488
2024-09-23_11-36-58.7,0.0398536473512649,0.0410455800592899,0.05721060084986488
2024-09-23_11-36-59.5,0.0399031974375247,0.0411322526633739,0.05730730647048164
2024-09-23_11-37-00.3,0.0397534742951393,0.0409402996301651,0.0570652858780362
2024-09-23_11-37-01.1,0.0398919358849525,0.0411191955208778,0.05729009328787428
2024-09-23_11-37-02.8,0.0366290621459484,0.0377147085964679,0.05257458928235427
2024-09-23_11-37-03.6,0.0366290621459484,0.0377147085964679,0.05257458928235427
2024-09-23_11-37-04.4,0.0370195247232914,0.0381731875240802,0.05317553437895077
2024-09-23_11-37-05.2,0.0369202531874179,0.0380006991326808,0.05298262196225824
2024-09-23_11-37-06,0.0371959209442138,0.0383439511060714,0.0534209240028006
2024-09-23_11-37-06.8,0.0372744649648666,0.0383951365947723,0.05351235607360501
2024-09-23_11-37-08.5,0.0374299548566341,0.0385787896811962,0.053752437468784955
2024-09-23_11-37-09.3,0.0372221320867538,0.0383925922214984,0.05347408956279673
2024-09-23_11-37-10.1,0.0371742025017738,0.0383020415902137,0.05337572221170731
2024-09-23_11-37-10.9,0.0370650738477706,0.038213700056076,0.053236327552869674
2024-09-23_11-37-11.7,0.0371440388262271,0.0382601991295814,0.05332468900762092
2024-09-23_11-37-12.5,0.0371440388262271,0.0382601991295814,0.05332468900762092
2024-09-23_11-37-13.3,0.0369177386164665,0.0380455665290355,0.05301306024998942
2024-09-23_11-37-15,0.0366969443857669,0.037764485925436,0.052657593227041076
2024-09-23_11-37-15.8,0.0369656682014465,0.038108866661787,0.05309186702146849
2024-09-23_11-37-16.6,0.0369656682014465,0.038108866661787,0.05309186702146849
2024-09-23_11-37-17.4,0.0370205491781234,0.0381809771060943,0.05318183970328546
2024-09-23_11-37-18.2,0.0394315868616104,0.0405829288065433,0.05658466358424063
2024-09-23_11-37-19,0.0401124730706214,0.0413078144192695,0.05757904156842259
2024-09-23_11-37-19.8,0.0397632494568824,0.040934395045042,0.05706786052651543
