Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
1.5424,0.0118,0,0.0219,0.5758,0.3727,0.1066,0.0029,0.0101,0.1545,0.0749,0.2112
1.5527,0.0121,0,0.0217,0.5835,0.3778,0.1069,0.0018,0.0098,0.1547,0.0729,0.2115
1.5659,0.0116,0,0.0217,0.5884,0.379,0.1071,0.0031,0.0098,0.1609,0.0729,0.2114
1.5608,0.0118,0,0.0217,0.5871,0.3798,0.1067,0.0026,0.0099,0.1582,0.0717,0.2113
1.3288,0.014,0,0.0216,0.0457,0.3771,0.1065,0.0062,0.0107,0.0865,0.4486,0.2119
1.3008,0.0142,0,0.0214,0.0099,0.3776,0.1065,0.0068,0.011,0.0664,0.4751,0.2119
1.3047,0.0142,0,0.0214,0.0261,0.3773,0.1063,0.008,0.0111,0.066,0.4621,0.2122
1.3006,0.0143,0,0.0213,0.026,0.3755,0.1061,0.0077,0.0107,0.0718,0.4552,0.212
1.2836,0.0143,0,0.0214,0.0253,0.3729,0.1059,0.008,0.0104,0.0619,0.4521,0.2114
1.2777,0.0141,0,0.0214,0.0254,0.372,0.1053,0.0085,0.0104,0.0597,0.4493,0.2116
1.281,0.0143,0,0.0214,0.0254,0.377,0.1052,0.0067,0.0104,0.0598,0.4494,0.2114
1.275,0.0143,0,0.0211,0.0254,0.3741,0.1053,0.0066,0.0105,0.0598,0.4463,0.2116
1.2739,0.0145,0,0.0212,0.0255,0.3717,0.1049,0.0066,0.011,0.0597,0.4469,0.2119
1.2737,0.0143,0,0.0216,0.0254,0.3747,0.1052,0.008,0.0108,0.0597,0.4419,0.2121
1.2527,0.0139,0,0.0212,0.0248,0.3694,0.1032,0.008,0.0093,0.0588,0.4357,0.2084
1.2728,0.0142,0,0.0214,0.0254,0.3762,0.1052,0.0075,0.0104,0.0598,0.4411,0.2116
1.2688,0.0141,0,0.0211,0.0253,0.3757,0.105,0.0079,0.0104,0.0599,0.4381,0.2113
1.2664,0.0143,0,0.0213,0.0252,0.3749,0.1053,0.0081,0.0093,0.0597,0.437,0.2113
1.2662,0.0142,0,0.0212,0.0253,0.3736,0.1052,0.0087,0.0105,0.0597,0.4357,0.2121
1.3268,0.0142,0,0.0214,0.0252,0.3708,0.1052,0.0075,0.0113,0.1252,0.4344,0.2116
1.3648,0.0142,0,0.0211,0.0253,0.3698,0.1049,0.0065,0.0104,0.1639,0.4375,0.2112
1.3457,0.0142,0,0.0214,0.0253,0.3707,0.1047,0.0069,0.009,0.1467,0.4359,0.2109
1.3432,0.0135,0,0.0212,0.0253,0.371,0.1047,0.007,0.0095,0.1447,0.4356,0.2107
1.3422,0.0141,0,0.0213,0.0254,0.3732,0.1049,0.007,0.0091,0.1445,0.4323,0.2104
